Timestamp,03.15.2024:15:44:11
Scans in Average,1
Termination,10000
V_RMS(V),0.0006396748179736138
V_DC (V),0.00015566990580465992
RMS_Noise %,12.95473773898354
Frequency (Hz),Mag^2 (V^2 / Hz),PSD (dBV^2 / Hz),RIN (dBc / Hz),Integrated Volts RMS,Integrated RIN (%RMS)
351.6674041748047,2.275145713307817e-15,-146.42990783420498,-82.54909291857759,1.0143939623648024e-06,0.15857963044070394
357.62786865234375,7.031356593264112e-16,-151.52960876384114,-87.64879384821377,1.0187595796089554e-06,0.15926210489827014
363.5883331298828,2.973231403302634e-15,-145.26771288821791,-81.38689797259055,1.0241227996127287e-06,0.16010053402711458
369.5487976074219,3.708614713104908e-15,-144.30788283054247,-80.4270679149151,1.0337992851115866e-06,0.16161325349440758
375.50926208496094,1.475476688976111e-16,-158.31067647518827,-94.4298615595609,1.039342687156648e-06,0.16247985037915316
381.4697265625,1.9622221240448805e-15,-147.07251831927158,-83.19170340364421,1.042363096669923e-06,0.16295202927824493
387.43019104003906,1.4346557009048411e-15,-148.4325231156973,-84.55170820006992,1.0472078638476641e-06,0.1637094089720538
393.3906555175781,4.874642356433868e-19,-183.12057242185955,-119.23975750623217,1.0492480021579214e-06,0.1640283426322407
399.3511199951172,2.346544173785029e-16,-156.29571265764076,-92.4148977420134,1.0495818917305406e-06,0.1640805393989787
405.31158447265625,4.017698908379923e-15,-143.96022612965763,-80.07941121403024,1.0556017942011678e-06,0.16502162732388675
411.2720489501953,3.614820040335569e-15,-144.4191331868332,-80.53831827120582,1.0663216339147893e-06,0.16669745376138514
417.2325134277344,2.7432297618664357e-16,-155.61737816116994,-91.73656324554257,1.0717426819688255e-06,0.16754492311639413
423.19297790527344,1.1286787563828208e-15,-149.47429649025105,-85.59348157462367,1.0736915978753786e-06,0.16784959603016103
429.1534423828125,4.146564454761877e-16,-153.82311579496695,-89.94230087933958,1.0758313737161563e-06,0.16818410596875077
435.11390686035156,1.3454518921207637e-15,-148.71131826224274,-84.83050334661539,1.078266514496034e-06,0.16856479014006015
